reporterID GSM328803 GSM328805 GSM328816 GSM328818 GSM328828
401 100201.1 1 1 0 1 1
402 100201.2 1 1 0 1 1
403 100202.1 1 1 1 1 1
404 100202.2 1 1 1 1 1
405 100203.2 1 1 1 1 1
406 100203.1 1 1 1 1 1
407 100204.2 1 1 1 1 1
408 100204.1 1 1 1 1 1
409 100205.1 1 1 0 1 1
410 100205.2 1 0 1 0 0
411 100206.2 1 0 1 1 0
412 100206.1 1 0 1 0 0
413 100207.2 1 1 1 0 0
414 100207.1 1 1 1 0 1
415 100208.1 1 0 1 1 1
416 100208.2 1 0 1 1 0
417 100209.1 1 1 1 1 0
418 100209.2 1 1 0 1 0
419 100210.2 1 1 0 1 1
420 100210.1 1 0 0 0 0
421 100211.1 1 1 0 1 0
422 100211.2 1 1 0 1 0
423 100212.2 1 1 1 1 1
424 100212.1 1 1 1 1 1
425 100213.2 1 1 1 1 1
426 100213.1 1 1 1 1 0
427 100214.1 1 1 1 1 1
428 100214.2 1 1 1 1 1
429 100215.1 1 1 1 1 1
430 100215.2 1 1 1 1 1
431 100216.1 1 1 1 0 1
432 100216.2 1 1 1 0 1
433 100217.2 1 1 0 1 0
434 100217.1 1 1 0 1 0
435 100218.1 1 0 1 1 0
436 100218.2 1 0 1 1 0
437 100219.2 1 1 0 1 1
438 100219.1 1 1 1 1 1
439 100220.2 0 0 0 0 0
440 100220.1 0 0 0 0 0
441 100221.2 1 0 0 0 0
442 100221.1 1 0 1 0 0
443 100222.2 1 0 0 1 1
444 100222.1 1 1 1 0 0
445 100223.2 1 1 1 1 0
446 100223.1 1 1 0 1 0
447 100224.2 1 1 1 1 1
448 100224.1 1 1 1 1 1
449 100225.1 1 1 1 1 1
450 100225.2 1 1 1 1 1
451 100226.1 1 1 1 1 1
452 100226.2 1 1 1 1 1
453 100227.2 1 1 1 1 1
454 100227.1 1 1 0 1 1
455 100228.2 1 1 1 1 1
456 100228.1 1 1 1 1 1
457 100229.2 1 1 0 1 0
458 100229.1 0 1 0 0 0
459 100230.2 1 0 1 1 0
460 100230.1 1 0 1 1 1
461 100231.2 1 0 0 1 0
462 100231.1 0 0 1 0 1
463 100232.2 1 0 0 0 1
464 100232.1 1 1 0 0 0
465 100233.1 1 0 1 0 0
466 100233.2 1 1 0 1 0
467 100234.2 1 0 1 0 0
468 100234.1 1 1 1 0 0
469 100235.1 1 1 1 1 1
470 100235.2 1 1 0 1 1
471 100236.1 1 1 1 1 1
472 100236.2 1 1 0 1 1
473 100237.1 1 1 1 0 1
474 100237.2 1 1 1 0 1
475 100238.1 1 1 1 1 1
476 100238.2 1 1 1 1 1
477 100239.1 1 1 1 1 1
478 100239.2 1 1 1 1 1
479 100240.2 1 1 1 1 1
480 100240.1 1 1 1 1 1
481 100241.2 1 1 0 1 0
482 100241.1 0 1 0 1 0
483 100242.1 1 1 1 1 0
484 100242.2 1 1 1 0 0
485 100243.2 1 0 1 1 1
486 100243.1 0 0 1 1 1
487 100244.2 1 1 1 1 0
488 100244.1 1 1 1 1 1
489 100245.2 1 1 0 1 1
490 100245.1 1 1 1 1 1
491 100246.1 1 1 0 1 0
492 100246.2 1 1 1 1 0
