ENTREZID GSM714777 GSM714778 GSM714779 GSM714783 GSM714784 GSM714785
396623 396623 0.672612788231869 0.645675282414911 0.655544308332634 0.655387086726599 0.692370976207506 0.675366756509791
396626 396626 0.590732514264555 0.586508430558065 0.593735351080526 0.600549637046953 0.583920560729085 0.59325218258441
396627 396627 0.483503974223548 0.429528125456622 0.488999175887502 0.620868748755704 0.514867362355894 0.596362727581723
396628 396628 0.182484968855917 0.17842121674561 0.188452280843283 0.191791015924443 0.241744074990181 0.186583530233667
396629 396629 0.496760246997928 0.507384906609951 0.513186815314897 0.495237219375596 0.506291050325581 0.502233967663549
396635 396635 0.354043947634555 0.358453214145747 0.362080884108261 0.353213579937066 0.381559397878711 0.369432597852153
396636 396636 0.334815199956738 0.256829364546674 0.330197322025829 0.432509232564422 0.373384885421221 0.4224085924335
396637 396637 0.511551206255808 0.445041712727537 0.473320520442943 0.534417683867782 0.487437511431648 0.523384974859839
396638 396638 0.868628832642232 0.876102947849383 0.872780452267871 0.875487428271445 0.865469206162184 0.868113554034222
396639 396639 0.460990584111989 0.384272742983216 0.476103288638928 0.510173206907141 0.480583329703957 0.51267976496159
396640 396640 0.787282502070006 0.819785778096291 0.810591679253212 0.781668524724916 0.810316154984099 0.802622128159121
396642 396642 0.166841864694823 0.139212880156774 0.166651265689509 0.176168056044838 0.201375714312184 0.193308302242473
396646 396646 0.535637876086662 0.525365615150466 0.552882273647758 0.543738505445684 0.550145673792377 0.558515401946743
396648 396648 0.567358645095015 0.534477480072265 0.549943497079557 0.599922786514986 0.580404817381223 0.601023914031287
396649 396649 0.0723428784639166 0.113262003463781 0.0692634263263649 0.10753470351268 0.0657998891434158 0.0770329380289908
396650 396650 0.194900229016112 0.185316624657734 0.241644745530607 0.232487949314225 0.259621282487814 0.229041904959822
396654 396654 0.3572540818745 0.333265911572563 0.349470193545074 0.345586442613528 0.376620885859862 0.371937024671526
396655 396655 0.551867055393429 0.525383789290171 0.588722104350026 0.622449024843374 0.568410861007477 0.609796788668112
396656 396656 0.421451859116015 0.432082742773171 0.434966260107648 0.445549527568674 0.437704464164998 0.461669935706483
396658 396658 0.484761649372897 0.467438268649738 0.50648996324452 0.492569861522732 0.514951735529824 0.514998188631966
396659 396659 0.560737865908998 0.547348904478318 0.555309932379876 0.581463280313626 0.590478139536631 0.590988918587531
396660 396660 0.60178145263228 0.598174497240798 0.627035426104467 0.645364801069428 0.646710429778159 0.643305638266373
396661 396661 0.231555894856599 0.154313140051753 0.238515497455806 0.296061268445313 0.271888112785396 0.300290646044675
396662 396662 0.290611966335867 0.212393638298814 0.310842608829807 0.381635353930855 0.320914751397889 0.367709869104091
396663 396663 0.490376463127381 0.460939615356995 0.499657384490904 0.493356272355939 0.515063927806612 0.517107499218954
396664 396664 0.233646357753948 0.258821914070057 0.225159184304369 0.260567301470448 0.213199652688506 0.235769842052987
396665 396665 0.398028923033117 0.392056003854551 0.397097530783892 0.384525180717265 0.396771607383571 0.404086869390738
396666 396666 0.21971310580187 0.202238200544509 0.231777538776071 0.216441085471422 0.23515303850496 0.248363403892866
396667 396667 0.460820554056854 0.475107916823598 0.482667514756546 0.511518650560155 0.482237816933654 0.497469823053047
396668 396668 0.532912838232706 0.458320122418432 0.525732280182599 0.608849735564997 0.533754937924069 0.591091366148662
396669 396669 0.116158180542472 0.108763945797147 0.145277423067435 0.110003806257179 0.188055328016659 0.0936903743998931
396670 396670 0.550141270223135 0.564277268806736 0.529898138571582 0.568193616491376 0.541052462875529 0.550836549315781
396673 396673 0.0107249765457452 0.00528576179717452 0.00662281323004608 0.00487140954873967 0.00494170616542989 0.00541257595066963
396674 396674 0.221143946809019 0.166044805634814 0.230710033658429 0.277664729953069 0.177672269061574 0.257019268891735
396675 396675 0.664129004308189 0.664009931435005 0.674244374250268 0.64743493020909 0.644730983633562 0.643476500463712
396676 396676 0.572653681323037 0.60194285334676 0.586712179264864 0.603625339408459 0.60497733532951 0.611089806514622
396677 396677 0.641237592035425 0.604482324234721 0.571807633984879 0.58074315279184 0.610811467077514 0.598731974885099
396680 396680 0.301009844641709 0.268587214799623 0.286370868378413 0.305005492559717 0.328859502511968 0.279600163703408
