"ID","GB_ACC","Name","SPOT_ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"3307","","","--BLANK",-0.80062819425,-0.188905855384615,-3.93955032402994,0.000477538787324832,0.0680339857011471,-0.0674621528013457
"4517","N77703","Hs.492716_MGC2165","",-0.684673916375,-0.235230393692308,-3.92574653431512,0.000495651077267788,0.0680339857011471,-0.0996481546428987
"12456","","","--BLANK",0.40337054375,-0.229551420076923,3.92531102855871,0.000496233343796374,0.0680339857011471,-0.100663213842914
"12958","R05601","Hs.435610_WA","",-0.55493747525,-0.143983875769231,-3.9242828777923,0.000497610632624593,0.0680339857011471,-0.103059488207697
"7294","W32131","Hs.91085_FLJ3496","",0.58145021625,0.463303872692308,3.92208703642781,0.000500564698392921,0.0680339857011471,-0.10817679631842
"8373","H53170","Hs.148989_CGNL","",1.04304356,1.67548265,3.92080234250528,0.000502300963297708,0.0680339857011471,-0.111170425000583
"2628","W93001","Hs.437941_C14orf10","",-0.9263635532375,0.192492850884615,-3.91811589866917,0.000505950800614562,0.0680339857011471,-0.117429750951161
"7783","","","--BLANK",-0.5947487544,0.0752406344230769,-3.9129081120143,0.000513100375835651,0.0680339857011471,-0.129561019461524
"3051","","","--UNRESOLVE",-0.880141938725,-0.0837248378461539,-3.91029345570801,0.000516727191649874,0.0680339857011471,-0.135650373814691
"8032","N75101","","",0.917400744357143,-0.488745743818182,3.99251317059542,0.000513737751404853,0.0680339857011471,-0.138531389366034
"10007","W07741","Hs.502915_BBS","",0.918222865075,0.287210306461538,3.90702340646463,0.000521298491901995,0.0680339857011471,-0.143264814698639
"3732","N53777","Hs.12967_SYNE","",-0.9486799784375,-0.0375281836538462,-3.90544718719685,0.000523516071343259,0.0680339857011471,-0.146934595229597
"17130","AA148531","Hs.458609_DPP","",-0.8777681254,-0.0204721848461538,-3.90271869273564,0.000527376659339272,0.0680339857011471,-0.15328633660571
"10430","W56877","Hs.437379_DDEFL","",0.565823027,0.0809471748461539,3.90215741981414,0.000528174266097782,0.0680339857011471,-0.154592816287215
"11921","","","--BLANK",0.604293576375,-0.0820084849230769,3.90201892697708,0.000528371255556016,0.0680339857011471,-0.154915180714627
"13741","R07406","","",-0.7512062298875,-0.0412398406538462,-3.89923345018754,0.000532348584557943,0.0680339857011471,-0.161398279470919
"10997","T82272","","",-0.870607949775,0.104716604576923,-3.89812100423966,0.000533945210552515,0.0680339857011471,-0.163987165792697
"4642","","","--BLANK",-0.565943342,0.236024480153846,-3.89687716981999,0.00053573596740123,0.0680339857011471,-0.166881621579994
"13936","N80119","Hs.407358","",-0.685665056475,0.104130827538462,-3.89588227781073,0.000537172555306797,0.0680339857011471,-0.169196627018646
"4271","H70046","Hs.497220_RGS1","",-0.6130938345,0.206982813181818,-3.96531946308076,0.000550701466800429,0.0680339857011471,-0.183554229948053
"8065","AA040403","Hs.60371","",0.8300868745,0.25169657,3.88854236343455,0.000547888406102914,0.0680339857011471,-0.186271650317091
"3593","","","--CONTROL_NEGATIVE",0.7557743099375,0.0167025847083333,3.92832068939637,0.000542636770369798,0.0680339857011471,-0.186579812765991
"10947","T80552","Hs.335163_KIAA110","",1.651939442,2.81518510115385,3.88734190153837,0.000549660826240579,0.0680339857011471,-0.189063614308946
"14544","BG218793","Hs.202676_SYCP","",-0.60040025225,0.0894937656923077,-3.88318628178548,0.000555839870742748,0.0680339857011471,-0.198726982696795
"7892","R31207","Hs.52264","",-0.7045464821625,-0.130033326846154,-3.88147265179771,0.00055840765810694,0.0680339857011471,-0.20271111955261
"4420","BG255790","Hs.433419_COX4I","",0.800667144625,-0.611651058153846,3.87727530739379,0.000564746350843646,0.0680339857011471,-0.212468098262452
"4274","H64825","Hs.379970_RASSF","",-0.7143285367,0.37632489128,-3.89263501910911,0.000567519578948353,0.0680339857011471,-0.213665301029363
"7962","","","--BLANK",0.84383239025,-0.0504662285769231,3.87582343980764,0.000566955276147228,0.0680339857011471,-0.215842481798891
"3429","","","--CONTROL_NEGATIVE",1.197913261875,0.506997756923077,3.87339543548225,0.000570668254607856,0.0680339857011471,-0.221484913905686
"11078","","","--BLANK",1.918348742875,-0.466589352692308,3.87011344212559,0.000575725052315331,0.0680339857011471,-0.229110617805038
"6984","BF448352","Hs.461030_MGC1133","",-1.1577789674375,0.378133978423077,-3.86995181471768,0.000575975213476503,0.0680339857011471,-0.22948611967472
"13568","AA010233","Hs.497788_EPR","",-0.728049710125,-0.324938238846154,-3.86743681554633,0.000579881581885875,0.0680339857011471,-0.235328633571653
"10022","BM876583","Hs.533977_TXNI","",2.622442596625,1.30836489269231,3.86325785893441,0.00058642989566677,0.0680339857011471,-0.245034660276337
"11100","H47397","Hs.80720_GAB","",1.00791787525,1.521224795,3.86165842361376,0.00058895527961716,0.0680339857011471,-0.248748847473998
"4229","","","--BLANK",-0.4637026225625,0.211685716961538,-3.85813080782239,0.000594562806956945,0.0680339857011471,-0.256939343396789
"3578","R07679","Hs.17949","",-0.6717101753625,-0.0141944761153846,-3.84806853826345,0.000610846592162095,0.0680339857011471,-0.280292352137008
"1270","R32270","Hs.531561_EMP","",2.053242038625,2.16810411923077,3.84763854035373,0.000611552098053133,0.0680339857011471,-0.281289987341544
"14917","R09777","Hs.14770_BIN","",0.471981435125,0.561945886923077,3.84340126520926,0.000618547062725799,0.0680339857011471,-0.291119426229761
"713","AA135647","Hs.12813_TIPAR","",-0.7210544066875,0.184291596269231,-3.84088557368791,0.00062273698632857,0.0680339857011471,-0.296953977543673
"4141","BM750142","Hs.460179_SMG","",-0.5174714215625,-0.221636911730769,-3.83608445116423,0.000630810547313552,0.0680339857011471,-0.308086476672635
"9984","N73140","Hs.527348_AKAP","",-0.866942861875,-0.0824819746153846,-3.83582293256055,0.000631253245576724,0.0680339857011471,-0.30869277014905
"12589","BM562003","Hs.330742_SPPL2","",0.5042796885625,-0.171995147807692,3.83531664493174,0.000632111152469351,0.0680339857011471,-0.309866497009743
"4102","BM832831","","",1.8725214334125,-0.9395155955,3.83145599909202,0.000638690655831425,0.0680339857011471,-0.318815391702925
"8435","W38310","Hs.165830_EVI","",1.18778735075,1.245429305,3.82458359668224,0.000650569112419973,0.0680339857011471,-0.334740010987992
"14017","","","--BLANK",-1.16850399591667,-1.13291895217391,-3.88045139651493,0.000647614385320655,0.0680339857011471,-0.334746990653261
"15624","BF344110","Hs.113314_LOC38888","",0.896003127975,-0.520817633307692,3.81989701332843,0.000658793177423083,0.0680339857011471,-0.345595646683213
"13377","","","--BLANK",0.824675991875,-0.0931670739230769,3.81978720806564,0.000658987078787295,0.0680339857011471,-0.345849951549988
"829","BF984256","Hs.21765_FADS","",0.75480061175,-0.226442788846154,3.81954488249218,0.000659415190765096,0.0680339857011471,-0.346411162073021
"769","BG105426","Hs.477115_FLJ1134","",-0.5173635179125,0.224739219615385,-3.81880034118689,0.00066073226011802,0.0680339857011471,-0.348135416886417
"14156","R68708","Hs.507537_NUPL","",-0.6916848025,-0.154031946153846,-3.81027827929697,0.000675991959019586,0.0680339857011471,-0.36786537663343
"9495","R71543","","",-0.6851874988125,-0.0198180944230769,-3.8061260118044,0.000683551376850042,0.0680339857011471,-0.377474557625518
"12770","AA233113","Hs.302977_C12orf","",0.607108152,0.332391329615385,3.80186508669455,0.000691394513506458,0.0680339857011471,-0.387332453876726
"18359","W77949","Hs.1076_SPRR1","",-0.56092335035,-0.256857128615385,-3.80100456078581,0.0006929891376727,0.0680339857011471,-0.389322992020992
"14501","R60480","Hs.12272_BECN","",0.9431942144625,0.0061294905,3.79960931864178,0.00069558227730376,0.0680339857011471,-0.392550174660899
"3736","N76743","Hs.407926_AVO","",-0.6462979902125,0.00646100876923077,-3.7985677600918,0.000697524255765305,0.0680339857011471,-0.394959094698358
"3392","W53003","Hs.518545_RNASE","",0.869376653666667,0.7352514852,3.81287647546582,0.000701214950778868,0.0680339857011471,-0.395923046190064
"14710","BM803027","Hs.162233_CHD","",0.730911846090278,-0.45961742628,3.81297063728898,0.000701040224639812,0.0680339857011471,-0.399614227324973
"9451","T95449","Hs.24610","",-0.49850197175,0.0617706818461538,-3.79443638357467,0.000705279509437696,0.0680339857011471,-0.404512504241496
"16064","R59887","Hs.388715_LOC28573","",-0.790164226,-1.21261344772727,-3.86273682805015,0.000715310787230085,0.0680339857011471,-0.405946261815643
"10203","T83773","","",-0.692985497375,-0.140319836769231,-3.79261899025079,0.000708717676846179,0.0680339857011471,-0.408714212925541
"539","","","--BLANK",0.682045525285714,0.232475553826087,3.84258192538745,0.000714153674546819,0.0680339857011471,-0.410096350864187
"15569","BG618213","Hs.27836_FNDC","",-0.520480623875,-0.156643059038462,-3.790806128597,0.000712163587901676,0.0680339857011471,-0.412904932846735
