,228845_at
SNOWBALL_000395,201041_s_at
SNOWBALL_000395,201044_x_at
SNOWBALL_000396,207901_at
SNOWBALL_000398,209341_s_at
SNOWBALL_000398,209342_s_at
SNOWBALL_000398,211027_s_at
SNOWBALL_000399,222853_at
SNOWBALL_000399,219250_s_at
SNOWBALL_000409,1552998_at
SNOWBALL_000419,229772_at
SNOWBALL_000420,220542_s_at
SNOWBALL_000421,220542_s_at
SNOWBALL_000422,220542_s_at
SNOWBALL_000423,220542_s_at
SNOWBALL_000425,204239_s_at
SNOWBALL_000426,204239_s_at
SNOWBALL_000430,205153_s_at
SNOWBALL_000430,35150_at
SNOWBALL_000430,215346_at
SNOWBALL_000430,222292_at
SNOWBALL_000433,202716_at
SNOWBALL_000434,227654_at
SNOWBALL_000434,243978_at
SNOWBALL_000438,228787_s_at
SNOWBALL_000438,220588_at
SNOWBALL_000439,228787_s_at
SNOWBALL_000439,220588_at
SNOWBALL_000441,201773_at
SNOWBALL_000441,226426_at
SNOWBALL_000443,202673_at
SNOWBALL_000446,202673_at
SNOWBALL_000448,206141_at
SNOWBALL_000449,214595_at
SNOWBALL_000449,211053_at
SNOWBALL_000452,231801_at
SNOWBALL_000452,228442_at
SNOWBALL_000452,226991_at
SNOWBALL_000452,224542_s_at
SNOWBALL_000456,212062_at
SNOWBALL_000457,212062_at
SNOWBALL_000463,222897_s_at
SNOWBALL_000463,219536_s_at
SNOWBALL_000463,218968_s_at
SNOWBALL_000464,222897_s_at
SNOWBALL_000464,219536_s_at
SNOWBALL_000464,218968_s_at
SNOWBALL_000465,222897_s_at
SNOWBALL_000465,219536_s_at
SNOWBALL_000465,218968_s_at
SNOWBALL_000470,244521_at
SNOWBALL_000470,235616_at
SNOWBALL_000470,235815_at
SNOWBALL_000470,243940_at
SNOWBALL_000470,238577_s_at
SNOWBALL_000470,220213_at
SNOWBALL_000471,244521_at
SNOWBALL_000471,235616_at
SNOWBALL_000471,235815_at
SNOWBALL_000471,243940_at
SNOWBALL_000471,238577_s_at
SNOWBALL_000471,220213_at
SNOWBALL_000472,203739_at
SNOWBALL_000474,209276_s_at
SNOWBALL_000474,206662_at
SNOWBALL_000477,204378_at
SNOWBALL_000478,206504_at
SNOWBALL_000479,205361_s_at
SNOWBALL_000479,205362_s_at
SNOWBALL_000479,205360_at
SNOWBALL_000483,242524_at
SNOWBALL_000483,234024_at
SNOWBALL_000484,214003_x_at
SNOWBALL_000484,200949_x_at
SNOWBALL_000484,216247_at
SNOWBALL_000486,224693_at
SNOWBALL_000486,208080_at
SNOWBALL_000486,224690_at
SNOWBALL_000487,224693_at
SNOWBALL_000487,208080_at
SNOWBALL_000487,224690_at
SNOWBALL_000488,208079_s_at
SNOWBALL_000488,204092_s_at
SNOWBALL_000489,208079_s_at
SNOWBALL_000489,204092_s_at
SNOWBALL_000490,32723_at
SNOWBALL_000490,202190_at
SNOWBALL_000491,32723_at
SNOWBALL_000491,202190_at
SNOWBALL_000492,32723_at
SNOWBALL_000492,202190_at
SNOWBALL_000495,220888_s_at
SNOWBALL_000495,1554786_at
SNOWBALL_000498,217737_x_at
SNOWBALL_000498,233842_x_at
SNOWBALL_000498,234926_s_at
SNOWBALL_000498,236702_at
SNOWBALL_000498,224128_at
SNOWBALL_000499,217737_x_at
SNOWBALL_000499,233842_x_at
SNOWBALL_000499,234926_s_at
SNOWBALL_000499,236702_at
SNOWBALL_000499,224128_at
SNOWBALL_000500,234540_at
SNOWBALL_000501,232513_x_at
SNOWBALL_000502,205286_at
SNOWBALL_000502,205287_s_at
SNOWBALL_000509,209591_s_at
SNOWBALL_000509,209590_at
SNOWBALL_000509,211259_s_at
SNOWBALL_000509,211260_at
SNOWBALL_000512,222259_s_at
SNOWBALL_000514,201558_at
SNOWBALL_000514,211318_s_at
SNOWBALL_000515,201558_at
SNOWBALL_000515,211318_s_at
SNOWBALL_000516,201558_at
SNOWBALL_000516,211318_s_at
SNOWBALL_000517,212430_at
SNOWBALL_000518,212430_at
SNOWBALL_000519,1552368_at
SNOWBALL_000524,208087_s_at
SNOWBALL_000524,242020_s_at
SNOWBALL_000525,208087_s_at
SNOWBALL_000525,242020_s_at
SNOWBALL_000526,208087_s_at
SNOWBALL_000526,242020_s_at
SNOWBALL_000527,217875_s_at
SNOWBALL_000527,222449_at
SNOWBALL_000527,222450_at
SNOWBALL_000528,229542_at
SNOWBALL_000533,218360_at
SNOWBALL_000533,213405_at
SNOWBALL_000535,225923_at
SNOWBALL_000535,202549_at
SNOWBALL_000535,202550_s_at
SNOWBALL_000538,221499_s_at
SNOWBALL_000538,221500_s_at
SNOWBALL_000538,1558249_s_at
SNOWBALL_000538,221638_s_at
SNOWBALL_000540,221499_s_at
SNOWBALL_000540,221500_s_at
SNOWBALL_000540,1558249_s_at
SNOWBALL_000540,221638_s_at
SNOWBALL_000543,218821_at
SNOWBALL_000543,218822_s_at
SNOWBALL_000543,89476_r_at
SNOWBALL_000544,218821_at
SNOWBALL_000544,218822_s_at
SNOWBALL_000544,89476_r_at
SNOWBALL_000545,212273_x_at
SNOWBALL_000545,217057_s_at
SNOWBALL_000545,200981_x_at
SNOWBALL_000545,200780_x_at
SNOWBALL_000545,214548_x_at
SNOWBALL_000545,211858_x_at
SNOWBALL_000545,214157_at
SNOWBALL_000547,212273_x_at
SNOWBALL_000547,217057_s_at
SNOWBALL_000547,200981_x_at
SNOWBALL_000547,200780_x_at
SNOWBALL_000547,214548_x_at
SNOWBALL_000547,211858_x_at
SNOWBALL_000547,214157_at
SNOWBALL_000549,212273_x_at
SNOWBALL_000549,217057_s_at
SNOWBALL_000549,200981_x_at
SNOWBALL_000549,200780_x_at
SNOWBALL_000549,214548_x_at
SNOWBALL_000549,211858_x_at
SNOWBALL_000549,214157_at
SNOWBALL_000551,212273_x_at
SNOWBALL_000551,217057_s_at
SNOWBALL_000551,200981_x_at
SNOWBALL_000551,200780_x_at
SNOWBALL_000551,214548_x_at
SNOWBALL_000551,211858_x_at
SNOWBALL_000551,214157_at
SNOWBALL_000552,212273_x_at
SNOWBALL_000552,217057_s_at
SNOWBALL_000552,200981_x_at
SNOWBALL_000552,200780_x_at
SNOWBALL_000552,214548_x_at
SNOWBALL_000552,211858_x_at
SNOWBALL_000552,214157_at
SNOWBALL_000553,212273_x_at
SNOWBALL_000553,217057_s_at
SNOWBALL_000553,200981_x_at
SNOWBALL_000553,200780_x_at
SNOWBALL_000553,214548_x_at
SNOWBALL_000553,211858_x_at
SNOWBALL_000553,214157_at
SNOWBALL_000554,212273_x_at
SNOWBALL_000554,217057_s_at
SNOWBALL_000554,200981_x_at
SNOWBALL_000554,200780_x_at
SNOWBALL_000554,214548_x_at
SNOWBALL_000554,211858_x_at
SNOWBALL_000554,214157_at
SNOWBALL_000555,212273_x_at
SNOWBALL_000555,217057_s_at
SNOWBALL_000555,200981_x_at
SNOWBALL_000555,200780_x_at
SNOWBALL_000555,214548_x_at
SNOWBALL_000555,211858_x_at
SNOWBALL_000555,214157_at
SNOWBALL_000557,212273_x_at
SNOWBALL_000557,217057_s_at
SNOWBALL_000557,200981_x_at
SNOWBALL_000557,200780_x_at
SNOWBALL_000557,214548_x_at
SNOWBALL_000557,211858_x_at
SNOWBALL_000557,214157_at
SNOWBALL_000558,212273_x_at
SNOWBALL_000558,217057_s_at
SNOWBALL_000558,200981_x_at
SNOWBALL_000558,200780_x_at
SNOWBALL_000558,214548_x_at
SNOWBALL_000558,211858_x_at
SNOWBALL_000558,214157_at
SNOWBALL_000559,212273_x_at
SNOWBALL_000559,217057_s_at
SNOWBALL_000559,200981_x_at
SNOWBALL_000559,200780_x_at
SNOWBALL_000559,214548_x_at
SNOWBALL_000559,211858_x_at
SNOWBALL_000559,214157_at
SNOWBALL_000567,225261_x_at
SNOWBALL_000567,225865_x_at
SNOWBALL_000567,225006_x_at
SNOWBALL_000567,220607_x_at
SNOWBALL_000572,225261_x_at
SNOWBALL_000572,225865_x_at
SNOWBALL_000572,225006_x_at
SNOWBALL_000572,220607_x_at
SNOWBALL_000573,210042_s_at
SNOWBALL_000574,208601_s_at
SNOWBALL_000574,230690_at
SNOWBALL_000575,208601_s_at
SNOWBALL_000575,230690_at
SNOWBALL_000576,217801_at
SNOWBALL_000576,230535_s_at
SNOWBALL_000577,217801_at
SNOWBALL_000577,230535_s_at
SNOWBALL_000578,217801_at
SNOWBALL_000578,230535_s_at
SNOWBALL_000579,222441_x_at
SNOWBALL_000579,217851_s_at
SNOWBALL_000580,222441_x_at
SNOWBALL_000580,217851_s_at
SNOWBALL_000582,217154_s_at
SNOWBALL_000582,208399_s_at
SNOWBALL_000584,227949_at
SNOWBALL_000590,203559_s_at
SNOWBALL_000591,208130_s_at
SNOWBALL_000591,236345_at
SNOWBALL_000592,208130_s_at
SNOWBALL_000592,236345_at
SNOWBALL_000595,205468_s_at
SNOWBALL_000595,239412_at
SNOWBALL_000595,205469_s_at
SNOWBALL_000596,213816_s_at
SNOWBALL_000596,211599_x_at
SNOWBALL_000596,203510_at
SNOWBALL_000596,213807_x_at
SNOWBALL_000597,209840_s_at
SNOWBALL_000597,209841_s_at
SNOWBALL_000598,200976_s_at
SNOWBALL_000598,200977_s_at
SNOWBALL_000598,213786_at
SNOWBALL_000599,204926_at
SNOWBALL_000599,210511_s_at
SNOWBALL_000599,227140_at
SNOWBALL_000601,210688_s_at
SNOWBALL_000601,210687_at
SNOWBALL_000601,203634_s_at
SNOWBALL_000601,203633_at
SNOWBALL_000602,208321_s_at
SNOWBALL_000602,208320_at
SNOWBALL_000602,210181_s_at
SNOWBALL_000610,214003_x_at
SNOWBALL_000610,200949_x_at
SNOWBALL_000610,216247_at
SNOWBALL_000611,202564_x_at
SNOWBALL_000612,202564_x_at
SNOWBALL_000614,205312_at
SNOWBALL_000617,202767_at
SNOWBALL_000621,1554994_at
SNOWBALL_000621,206591_at
SNOWBALL_000622,210916_s_at
SNOWBALL_000622,204490_s_at
SNOWBALL_000622,212014_x_at
SNOWBALL_000622,1557905_s_at
SNOWBALL_000622,209835_x_at
SNOWBALL_000622,212063_at
SNOWBALL_000622,204489_s_at
SNOWBALL_000622,216056_at
SNOWBALL_000622,229221_at
SNOWBALL_000622,217523_at
SNOWBALL_000623,218698_at
SNOWBALL_000625,200983_x_at
SNOWBALL_000625,200984_s_at
SNOWBALL_000625,200985_s_at
SNOWBALL_000627,215692_s_at
SNOWBALL_000627,205413_at
SNOWBALL_000628,215692_s_at
SNOWBALL_000628,205413_at
SNOWBALL_000634,206657_s_at
SNOWBALL_000636,220570_at
SNOWBALL_000637,206988_at
SNOWBALL_000638,217173_s_at
SNOWBALL_000638,202067_s_at
SNOWBALL_000638,202068_s_at
SNOWBALL_000639,202927_at
SNOWBALL_000641,202910_s_at
SNOWBALL_000642,202910_s_at
SNOWBALL_000644,202910_s_at
SNOWBALL_000649,205936_s_at
SNOWBALL_000650,1554876_a_at
SNOWBALL_000652,228234_at
SNOWBALL_000652,239431_at
SNOWBALL_000653,238725_at
SNOWBALL_000653,202531_at
SNOWBALL_000654,207952_at
SNOWBALL_000655,207844_at
SNOWBALL_000656,207539_s_at
SNOWBALL_000656,207538_at
SNOWBALL_000658,201743_at
SNOWBALL_000660,211671_s_at
SNOWBALL_000660,201866_s_at
SNOWBALL_000660,216321_s_at
SNOWBALL_000660,201865_x_at
SNOWBALL_000661,220273_at
SNOWBALL_000662,220273_at
SNOWBALL_000664,1552932_at
SNOWBALL_000665,210910_s_at
SNOWBALL_000665,204148_s_at
SNOWBALL_000667,1569421_at
SNOWBALL_000667,201428_at
SNOWBALL_000668,221820_s_at
SNOWBALL_000668,214885_at
SNOWBALL_000670,206398_s_at
SNOWBALL_000671,206398_s_at
SNOWBALL_000672,203233_at
SNOWBALL_000673,200704_at
SNOWBALL_000673,200706_s_at
SNOWBALL_000677,223485_at
SNOWBALL_000678,210118_s_at
SNOWBALL_000680,238844_s_at
SNOWBALL_000680,206285_at
SNOWBALL_000680,238843_at
SNOWBALL_000681,204777_s_at
SNOWBALL_000686,212973_at
SNOWBALL_000687,218696_at
SNOWBALL_000687,241463_at
SNOWBALL_000688,241430_at
SNOWBALL_000689,215332_s_at
SNOWBALL_000689,207979_s_at
SNOWBALL_000690,215332_s_at
SNOWBALL_000690,207979_s_at
SNOWBALL_000691,205758_at
SNOWBALL_000692,205758_at
SNOWBALL_000694,206036_s_at
SNOWBALL_000701,238947_at
SNOWBALL_000701,227296_at
SNOWBALL_000702,238947_at
SNOWBALL_000702,227296_at
SNOWBALL_000705,213520_at
SNOWBALL_000705,1553015_a_at
SNOWBALL_000711,218679_s_at
SNOWBALL_000712,218679_s_at
SNOWBALL_000713,219215_s_at
SNOWBALL_000715,228524_at
SNOWBALL_000718,219189_at
SNOWBALL_000719,218151_x_at
SNOWBALL_000719,222155_s_at
SNOWBALL_000719,239416_at
SNOWBALL_000719,220756_s_at
SNOWBALL_000727,236786_at
SNOWBALL_000727,224001_at
SNOWBALL_000727,1557838_at
SNOWBALL_000734,208834_x_at
SNOWBALL_000734,213084_x_at
SNOWBALL_000734,208825_x_at
SNOWBALL_000737,225033_at
SNOWBALL_000737,225034_at
SNOWBALL_000737,208322_s_at
SNOWBALL_000738,205094_at
SNOWBALL_000741,203760_s_at
SNOWBALL_000741,203761_at
SNOWBALL_000743,203673_at
SNOWBALL_000744,222133_s_at
SNOWBALL_000744,227523_s_at
SNOWBALL_000744,1554472_a_at
SNOWBALL_000744,226942_at
SNOWBALL_000744,230098_at
SNOWBALL_000744,231967_at
SNOWBALL_000746,222133_s_at
SNOWBALL_000746,227523_s_at
SNOWBALL_000746,1554472_a_at
SNOWBALL_000746,226942_at
SNOWBALL_000746,230098_at
SNOWBALL_000746,231967_at
SNOWBALL_000750,206483_at
SNOWBALL_000753,202431_s_at
SNOWBALL_000765,1553229_at
SNOWBALL_000766,219299_at
SNOWBALL_000767,209510_at
SNOWBALL_000771,241342_at
SNOWBALL_000771,238045_at
SNOWBALL_000772,222992_s_at
SNOWBALL_000775,208323_s_at
SNOWBALL_000776,208323_s_at
SNOWBALL_000781,218049_s_at
SNOWBALL_000782,218049_s_at
SNOWBALL_000783,218049_s_at
SNOWBALL_000784,216866_s_at
SNOWBALL_000784,216865_at
SNOWBALL_000784,212865_s_at
SNOWBALL_000785,218858_at
SNOWBALL_000787,204501_at
SNOWBALL_000787,214321_at
SNOWBALL_000789,230183_at
SNOWBALL_000789,214985_at
SNOWBALL_000789,201995_at
SNOWBALL_000797,208697_s_at
SNOWBALL_000798,205608_s_at
SNOWBALL_000798,205609_at
SNOWBALL_000798,1552939_at
SNOWBALL_000800,202393_s_at
SNOWBALL_000801,214485_at
SNOWBALL_000808,227132_at
SNOWBALL_000808,218059_at
SNOWBALL_000813,222712_s_at
SNOWBALL_000813,218687_s_at
SNOWBALL_000814,205960_at
SNOWBALL_000814,225207_at
SNOWBALL_000814,1562321_at
SNOWBALL_000816,231187_at
SNOWBALL_000816,207560_at
SNOWBALL_000817,208454_s_at
SNOWBALL_000817,203501_at
SNOWBALL_000818,204472_at
SNOWBALL_000819,227998_at
SNOWBALL_000820,202907_s_at
SNOWBALL_000820,202906_s_at
SNOWBALL_000820,217299_s_at
SNOWBALL_000820,202905_x_at
SNOWBALL_000823,200062_s_at
SNOWBALL_000823,228047_at
SNOWBALL_000825,203001_s_at
SNOWBALL_000825,203000_at
SNOWBALL_000826,206584_at
SNOWBALL_000828,216266_s_at
SNOWBALL_000828,202955_s_at
SNOWBALL_000828,202956_at
